alltags,category,subcategory,label
20,6,59,4.81
16,3,39,2.81
15,2,32,3.00
49,3,39,2.00
29,5,50,3.70
38,9,71,5.00
15,2,27,4.58
24,6,55,9.12
6,1,5,8.11
16,7,66,4.58
17,10,76,3.91
14,10,76,4.17
23,2,32,9.02
14,6,62,6.25
8,9,73,7.50
6,2,28,3.70
72,1,15,8.76
21,2,18,5.39
35,1,10,9.66
22,6,55,7.36
12,5,53,4.46
49,2,24,5.25
15,3,40,6.57
60,1,5,5.36
6,4,44,7.75
37,4,49,4.09
24,2,23,9.40
52,6,62,10.04
13,7,63,3.81
8,5,51,6.02
10,9,72,6.78
23,4,48,5.13
5,3,40,1.58
22,3,38,8.51
7,3,39,11.36
42,5,53,11.65
9,1,6,3.58
15,1,9,9.18
6,3,39,6.25
31,4,47,6.71
42,1,4,8.48
6,2,25,3.17
32,4,48,10.67
5,2,21,6.83
20,10,75,5.70
20,2,23,9.83
10,11,77,3.46
13,9,70,8.39
13,3,39,5.64
6,2,34,4.32
7,1,4,7.58
7,4,44,6.11
24,1,2,7.49
57,9,70,7.29
15,1,4,4.75
15,2,33,5.43
9,11,77,5.17
18,2,22,5.75
11,10,75,6.04
16,2,34,5.88
22,2,18,10.67
48,10,75,5.36
21,1,11,8.69
7,5,50,4.17
24,3,40,6.00
18,1,4,5.49
9,5,50,6.86
9,2,23,3.91
23,10,75,5.43
19,2,27,7.17
13,8,68,8.25
25,6,56,5.52
2,1,6,1.58
6,2,32,1.00
12,4,47,2.32
30,3,39,4.52
16,4,47,6.25
14,2,30,6.79
3,3,38,5.64
57,10,76,1.58
34,2,32,5.83
34,10,76,5.29
44,10,76,7.39
3,6,59,1.58
15,10,75,1.58
14,7,67,5.49
10,5,53,7.79
61,5,50,9.32
8,3,39,4.25
7,5,53,7.56
19,2,29,4.39
9,10,76,10.18
64,1,8,9.82
16,2,32,10.52
9,7,63,5.32
17,1,4,4.39
67,2,18,11.70
42,9,70,7.71
61,1,5,8.81
25,4,44,3.91
46,4,46,7.10
6,1,7,7.13
55,10,75,4.32
18,4,46,7.91
69,5,50,12.48
18,1,6,5.21
10,4,48,5.46
38,4,46,7.15
2,9,73,4.95
25,4,48,8.62
19,1,12,9.09
5,2,21,7.02
56,2,22,4.86
9,10,76,5.55
9,3,41,2.58
6,3,40,8.62
39,10,76,7.01
61,2,17,5.93
26,2,32,8.25
24,10,76,2.58
32,1,6,8.26
3,9,73,6.02
25,4,47,11.73
17,9,70,3.17
17,1,9,12.32
7,3,38,3.32
74,2,34,10.06
14,6,59,6.54
61,2,17,11.89
17,4,48,4.64
19,2,22,5.75
7,9,73,8.72
22,1,9,5.61
12,4,46,5.86
8,4,47,5.78
34,6,60,7.79
39,4,47,8.60
27,1,9,3.70
8,7,65,3.81
19,1,5,6.49
55,4,47,8.46
18,1,9,7.72
27,1,9,3.58
12,3,38,7.98
22,6,57,7.68
15,1,4,1.58
12,4,44,3.70
9,4,47,6.19
9,2,23,3.46
27,10,76,9.02
10,7,65,3.00
12,4,46,5.25
75,5,50,10.35
17,3,38,7.48
24,1,8,6.67
21,9,73,6.92
50,1,4,6.81
50,2,32,4.17
51,9,73,7.35
12,1,5,4.39
10,4,46,6.54
3,2,18,4.64
57,9,70,7.54
17,2,32,6.69
13,2,25,6.74
23,1,5,8.06
7,3,38,3.70
12,5,53,8.95
6,6,55,4.00
9,7,64,2.00
11,11,77,5.78
32,3,38,4.86
6,2,32,7.98
25,1,9,3.70
14,4,47,6.66
9,1,8,2.00
24,3,40,6.38
4,4,48,2.81
45,1,1,7.54
6,2,33,4.17
16,1,6,8.45
12,9,73,10.74
11,7,63,5.49
9,1,5,3.46
10,6,56,8.64
24,3,41,11.38
49,1,5,10.72
13,5,51,6.02
32,1,6,7.55
23,7,63,5.78
30,3,38,7.25
14,1,4,1.58
6,5,50,1.00
22,10,76,3.32
44,4,47,7.58
6,4,47,8.95
28,5,51,7.04
8,4,49,2.58
2,2,18,4.70
51,1,10,8.14
58,9,72,4.46
13,1,14,4.09
18,10,76,5.46
17,2,27,8.40
33,7,64,5.00
68,2,19,8.65
23,6,61,6.25
44,2,32,7.39
9,1,11,7.02
16,7,64,10.03
6,5,53,4.25
28,3,40,4.25
13,2,29,2.32
15,3,39,5.46
7,2,18,8.72
23,4,47,6.52
11,1,4,5.49
22,6,55,7.09
7,1,11,4.25
11,2,26,7.51
55,10,75,5.98
9,11,77,4.58
16,6,56,4.46
11,10,76,2.32
26,1,7,12.57
12,6,56,7.83
8,10,75,5.49
37,3,41,4.00
50,4,45,7.60
74,1,8,11.84
15,2,16,5.09
8,9,70,2.58
7,4,46,4.95
67,2,29,6.82
9,1,11,7.59
7,4,46,10.17
17,7,66,6.04
13,9,70,9.66
51,1,8,7.25
4,2,28,3.17
61,1,5,8.67
26,2,32,8.37
6,4,47,3.17
10,1,5,7.06
10,2,34,4.64
6,5,51,8.67
42,4,46,8.21
49,3,38,4.91
4,4,46,6.21
10,1,5,8.61
24,6,57,7.52
28,6,59,4.00
41,1,5,5.09
63,1,8,10.11
70,4,47,9.72
8,3,39,4.09
13,4,46,9.84
34,1,6,5.25
25,9,73,4.52
11,9,73,10.86
16,11,77,9.09
24,2,24,7.21
5,5,54,2.58
5,4,47,5.52
54,4,44,6.64
55,1,2,8.82
32,11,77,9.70
6,4,47,5.52
5,4,47,4.00
24,1,11,10.46
26,4,44,5.32
10,4,47,5.04
33,2,29,7.13
24,3,40,7.69
12,3,38,12.29
28,2,34,5.46
31,2,22,4.46
8,9,70,7.07
31,10,76,5.86
6,4,48,7.32
14,1,9,6.75
6,2,34,5.13
74,1,8,9.05
61,4,47,3.46
15,2,27,8.43
31,6,57,5.04
15,6,55,7.73
50,2,25,9.22
9,10,75,8.14
66,1,8,8.64
22,6,57,8.84
12,6,55,8.92
5,3,40,2.32
7,4,48,4.32
6,3,39,7.39
5,6,62,4.58
7,9,73,6.15
21,2,27,7.10
53,1,10,6.09
56,3,39,5.55
17,2,29,6.71
9,2,29,3.00
8,7,65,11.69
24,3,40,12.43
52,9,70,8.33
3,1,10,6.19
13,9,73,3.70
9,4,48,10.45
19,9,73,7.97
20,6,59,4.75
22,4,44,11.51
25,9,73,3.17
32,2,35,7.66
8,3,39,3.58
47,1,9,4.75
17,5,53,5.21
71,2,28,7.34
24,8,68,5.75
13,1,15,7.01
62,1,2,9.52
18,7,64,2.58
3,9,73,2.00
45,4,46,9.42
8,6,62,7.47
58,9,72,4.46
21,7,63,9.86
31,4,44,3.00
48,10,75,5.49
9,4,49,6.09
7,2,29,3.91
22,6,62,6.71
66,1,5,8.67
19,9,73,8.65
9,6,55,6.99
3,4,47,5.83
27,2,18,9.07
14,1,9,7.26
21,9,73,10.01
27,9,70,6.73
24,4,48,6.09
9,1,6,12.22
5,2,22,4.32
4,2,22,4.81
66,1,5,8.54
75,6,59,5.81
21,6,57,12.35
14,1,9,6.02
24,1,4,7.64
5,1,8,6.73
75,1,8,9.15
6,1,4,7.02
5,2,25,4.00
22,7,65,5.25
11,6,62,5.73
38,1,5,6.30
47,4,43,8.24
12,3,40,4.58
4,4,47,5.58
12,8,68,5.88
9,2,23,8.36
55,10,75,6.55
12,1,4,7.04
56,8,68,10.78
39,2,27,11.51
4,1,5,8.95
4,9,73,2.81
13,1,4,8.49
5,2,25,6.43
9,6,57,2.00
2,4,47,6.44
22,4,48,9.01
9,7,63,4.32
10,4,44,5.91
5,2,34,5.36
16,6,62,6.17
12,4,47,5.49
48,4,45,4.32
19,1,8,8.89
1,2,25,4.00
4,4,48,3.00
15,2,19,5.52
23,2,17,6.91
5,2,23,5.21
8,4,46,10.13
7,4,46,4.09
66,9,70,9.47
20,2,19,8.16
50,1,4,6.81
6,7,66,8.29
7,1,4,5.55
53,3,39,9.34
13,3,38,6.79
5,5,51,1.00
7,1,5,8.28
46,3,39,9.46
9,2,23,4.75
52,3,39,6.13
8,2,33,5.46
26,3,39,4.52
5,4,49,7.81
17,1,4,4.46
10,4,49,4.00
9,5,53,4.95
9,4,47,4.75
11,2,27,5.21
13,5,51,6.99
7,4,46,3.91
29,2,29,4.58
22,3,39,5.13
7,5,53,8.60
3,6,62,2.00
5,5,51,4.17
8,10,76,2.81
4,4,47,7.22
4,7,63,4.64
6,4,44,5.39
68,3,38,6.15
6,2,18,6.25
5,3,39,1.00
7,9,73,7.62
13,8,68,4.17
7,3,38,1.58
11,1,4,9.63
8,7,63,3.00
13,8,68,4.75
7,4,46,4.75
1,9,73,7.55
5,5,51,2.81
9,2,16,5.25
9,9,71,3.58
25,2,28,5.93
14,1,7,9.45
50,4,48,5.52
31,6,57,2.32
73,3,39,8.21
4,5,50,7.06
16,2,18,9.75
19,2,23,4.75
24,2,28,5.43
12,4,48,1.00
28,3,40,4.52
18,1,7,4.58
69,11,77,12.53
13,2,29,2.81
54,1,9,8.90
16,1,6,9.39
18,4,47,7.62
23,6,55,7.54
23,9,71,9.59
11,4,43,3.81
27,3,38,7.30
27,7,64,6.00
3,3,38,4.64
8,4,47,5.29
37,7,65,12.30
71,4,48,7.17
57,1,8,8.85
14,1,9,5.64
33,4,44,5.13
11,1,5,12.13
24,6,62,9.89
7,1,5,5.86
10,2,26,10.75
16,2,34,5.83
26,4,47,6.85
19,6,55,10.51
23,6,57,7.45
4,4,48,5.36
25,2,35,5.98
6,2,24,2.81
18,4,47,6.87
15,2,27,7.86
10,2,28,10.98
16,10,75,5.95
13,9,73,1.00
20,5,50,5.98
66,2,29,3.46
7,6,62,7.18
3,4,44,8.58
7,4,48,5.32
3,9,73,6.02
30,2,29,3.81
10,9,71,3.46
5,3,38,6.78
11,1,5,8.16
3,2,18,9.20
19,4,48,5.32
9,4,46,6.86
27,4,44,5.04
14,4,47,8.42
5,2,25,9.73
12,7,67,7.11
68,3,38,10.42
6,6,56,8.24
22,4,49,5.49
48,6,62,8.14
15,4,49,8.58
21,10,76,10.38
23,10,75,5.36
3,2,19,9.22
13,8,68,3.91
29,2,25,6.46
49,9,70,8.55
10,1,4,5.13
13,10,76,5.04
58,3,38,8.81
50,4,44,6.97
13,2,22,4.91
41,3,39,13.06
21,4,49,9.01
2,9,73,2.32
1,7,64,1.58
27,10,76,6.85
8,3,39,4.39
60,3,39,6.67
10,4,48,7.89
10,2,32,4.52
22,4,49,6.11
19,3,40,7.81
60,3,39,6.17
30,11,77,11.31
6,2,23,3.17
49,2,28,11.43
13,2,22,4.81
28,3,40,4.86
36,9,72,4.86
9,4,49,4.64
22,1,10,5.61
14,4,46,5.61
13,2,23,6.46
3,1,9,1.58
1,2,25,3.46
3,4,46,2.81
63,1,7,11.73
4,1,5,12.13
20,2,19,8.06
6,2,33,3.46
33,9,73,6.38
54,2,17,7.19
9,9,73,6.82
5,3,38,4.86
43,3,38,9.01
5,2,23,7.17
30,2,31,4.81
3,4,48,3.58
7,2,24,3.32
28,8,68,11.09
20,1,10,7.32
12,3,38,7.48
10,10,76,5.25
14,4,47,8.23
18,4,48,8.46
39,2,19,6.71
12,3,39,6.73
13,9,73,5.64
19,7,67,8.50
12,7,65,7.69
31,2,19,7.32
24,4,47,7.22
12,7,63,1.00
13,2,18,10.69
49,1,7,5.55
10,2,26,10.68
64,1,8,10.40
4,8,68,3.46
4,6,55,12.20
24,3,39,3.00
16,2,32,6.30
19,1,5,12.23
54,2,29,7.92
12,6,55,5.73
14,2,16,6.17
18,2,31,5.81
15,1,4,4.91
9,1,9,5.81
13,4,49,8.62
13,1,9,10.03
4,1,9,6.09
11,9,73,3.70
15,1,6,14.43
17,5,51,9.33
22,4,47,5.81
24,2,27,6.32
3,10,76,4.52
40,3,40,7.03
8,2,34,5.21
17,6,56,10.07
7,2,18,8.85
10,7,67,5.98
5,3,40,4.32
3,2,19,2.81
25,1,7,13.15
7,9,73,2.81
7,4,46,4.58
2,2,28,5.04
5,1,10,5.43
25,2,34,6.13
5,2,30,7.46
60,2,17,6.39
37,4,49,3.58
6,4,47,3.17
16,2,34,5.83
48,4,47,6.49
10,4,46,7.01
29,7,64,4.86
23,4,48,16.07
5,4,48,14.08
22,5,50,6.07
18,10,75,6.91
15,5,51,6.46
13,10,76,4.00
7,1,5,4.39
20,5,50,2.32
30,10,76,5.21
18,1,7,5.49
27,4,49,6.36
6,5,50,2.32
36,2,25,5.88
6,7,65,6.13
20,4,47,6.97
5,2,18,5.04
21,9,73,4.32
3,3,39,7.30
7,2,18,4.86
6,9,71,4.86
11,9,73,10.08
16,5,51,4.46
13,1,8,8.68
21,6,55,7.88
15,5,52,1.58
15,2,18,9.36
5,4,48,5.25
11,10,75,4.25
6,2,34,4.70
11,7,65,6.07
7,4,46,5.36
22,3,38,9.44
29,4,48,8.19
8,9,73,9.67
36,5,51,3.46
38,3,39,8.95
6,8,69,5.09
21,2,29,3.00
2,5,53,6.66
55,4,47,10.81
67,1,9,6.58
9,5,50,6.70
3,1,5,11.47
14,2,19,6.60
36,6,55,5.17
10,10,76,4.25
19,1,8,5.25
58,2,22,9.97
9,2,18,4.95
15,2,32,1.58
38,2,28,5.73
20,3,39,7.15
13,8,68,3.17
3,2,24,3.91
14,1,15,3.70
72,2,17,6.75
17,2,27,8.85
21,1,5,10.85
29,2,29,6.36
9,4,47,5.88
60,2,32,8.84
26,9,73,3.91
14,4,44,4.86
9,1,7,9.35
21,2,34,8.03
